City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Mokrousovo,RU,55.81,66.77,77.45,55,49,9.13,scattered clouds
288,Haines Junction,CA,60.75,-137.51,61.66,53,47,8.57,scattered clouds
289,Terre Haute,US,39.47,-87.41,66.2,93,90,12.75,light rain
290,Jiaojiang,CN,28.68,121.44,93.0,60,9,1.99,clear sky
291,Bissau,GW,11.86,-15.6,78.04,87,100,7.52,light rain
292,Port Lincoln,AU,-34.73,135.87,57.63,68,100,6.31,overcast clouds
293,Sibut,CF,5.72,19.07,71.6,94,100,3.06,overcast clouds
294,Vestmannaeyjar,IS,63.44,-20.27,51.78,94,98,15.08,light rain
295,Basco,PH,20.45,121.97,84.27,75,100,17.22,light rain
296,Sao Filipe,CV,14.9,-24.5,77.56,84,0,4.12,clear sky
297,Katangli,RU,51.71,143.23,64.2,91,100,11.88,overcast clouds
298,Aljezur,PT,37.32,-8.8,62.08,80,0,13.27,clear sky
299,Sibu,MY,2.3,111.82,87.8,70,40,2.24,scattered clouds
300,Mandalgovi,MN,45.76,106.27,65.35,52,46,25.37,scattered clouds
301,Naron,ES,43.52,-8.15,60.8,93,61,2.24,broken clouds
302,Sao Sebastiao,BR,-23.76,-45.41,65.23,84,34,5.32,scattered clouds
303,Canton,CN,23.12,113.25,90.0,79,75,6.71,broken clouds
304,Mao,ES,39.89,4.27,78.8,74,0,17.22,clear sky
305,Dodge City,US,37.75,-100.02,72.0,78,75,5.53,broken clouds
306,Dollar,GB,56.16,-3.67,55.0,89,100,1.01,overcast clouds
307,Naushki,RU,50.38,106.11,63.93,74,100,2.04,overcast clouds
308,Akyab,MM,20.15,92.9,86.99,70,100,0.76,overcast clouds
309,Senanga,ZM,-16.12,23.27,45.84,54,0,5.53,clear sky
310,La Ronge,CA,55.1,-105.28,66.2,72,5,3.71,clear sky
311,Malakal,SS,9.53,31.66,71.08,93,80,1.07,broken clouds
312,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,40,4.7,scattered clouds
313,Micheweni,TZ,-4.97,39.83,74.75,81,8,13.76,light rain
314,Labuhan,ID,-6.88,112.21,86.02,57,48,2.66,scattered clouds
315,Constitucion,CL,-35.33,-72.42,54.34,91,100,5.17,overcast clouds
316,Plettenberg Bay,ZA,-34.05,23.37,69.73,24,1,11.56,clear sky
317,Necochea,AR,-38.55,-58.74,48.99,91,73,7.0,broken clouds
318,Benjamin Constant,BR,-4.38,-70.03,73.4,100,85,0.45,overcast clouds
319,Clyde River,CA,70.47,-68.59,39.2,100,75,3.36,mist
320,Straumen,NO,63.87,11.3,59.0,93,25,3.36,scattered clouds
321,Agadir,MA,30.42,-9.6,69.8,88,75,10.29,broken clouds
322,Miranda,CO,3.25,-76.23,71.6,78,20,5.82,few clouds
323,Araceli,PH,10.55,119.99,84.29,74,100,9.1,overcast clouds
324,Makakilo City,US,21.35,-158.09,86.0,48,20,9.17,few clouds
325,Ganzhou,CN,28.82,115.43,91.76,59,66,10.36,broken clouds
326,Kiama,AU,-34.68,150.87,68.0,57,85,1.99,overcast clouds
327,Ahipara,NZ,-35.17,173.17,56.98,90,100,14.99,light rain
328,Honiara,SB,-9.43,159.95,87.8,66,20,6.93,few clouds
329,Kavaratti,IN,10.57,72.64,82.4,83,90,9.17,haze
330,Correntina,BR,-13.34,-44.64,63.54,64,12,5.64,few clouds
331,Sompeta,IN,18.93,84.6,91.2,60,100,1.5,overcast clouds
332,Corinto,GR,37.94,22.96,82.0,48,0,1.01,light rain
333,Kwinana,AU,-32.25,115.77,63.0,63,90,1.12,overcast clouds
334,Madawaska,US,47.36,-68.33,69.8,64,1,2.19,clear sky
335,Vila,PT,42.03,-8.16,66.99,82,6,4.7,clear sky
336,Wagga Wagga,AU,-35.12,147.37,59.0,71,97,3.36,overcast clouds
337,Garissa,KE,-0.45,39.64,71.47,73,0,14.72,clear sky
338,Arlit,NE,18.74,7.39,87.26,46,24,5.41,few clouds
339,Isangel,VU,-19.55,169.27,75.2,69,90,17.22,overcast clouds
340,Boden,SE,65.83,21.69,57.2,100,1,4.7,clear sky
341,Along,IN,28.17,94.77,91.09,55,41,1.63,scattered clouds
342,Sabang,ID,5.89,95.32,83.08,77,100,21.41,overcast clouds
343,Naryan-Mar,RU,67.67,53.09,55.99,84,74,9.01,broken clouds
344,Gazli,UZ,40.13,63.45,86.59,18,0,3.22,clear sky
345,Abdanan,IR,32.99,47.42,90.37,12,0,3.13,clear sky
346,Airai,TL,-8.93,125.41,73.83,42,0,3.76,clear sky
347,Dombas,NO,62.07,9.12,54.54,80,95,3.49,overcast clouds
348,Nadym,RU,65.53,72.52,65.32,70,0,13.71,clear sky
349,Palu,ID,-0.89,119.87,83.43,72,97,2.77,moderate rain
350,Iqaluit,CA,63.75,-68.51,55.4,82,75,4.7,broken clouds
351,Weligama,LK,5.97,80.42,80.91,82,92,13.24,moderate rain
352,Hambantota,LK,6.12,81.12,80.6,94,40,9.17,scattered clouds
353,West Lafayette,US,40.43,-86.91,64.4,93,90,12.75,mist
354,Brawley,US,32.98,-115.53,102.2,29,90,8.05,overcast clouds
355,Sakakah,SA,29.97,40.21,84.2,16,0,8.05,clear sky
356,Mutis,CO,6.23,-77.4,79.27,83,83,1.83,light rain
357,Palic,RS,46.1,19.76,59.77,77,0,4.99,clear sky
358,Domoni,KM,-12.26,44.53,74.84,77,39,13.53,scattered clouds
359,Dalvik,IS,65.97,-18.53,50.0,93,90,2.19,overcast clouds
360,New Bern,US,35.11,-77.04,82.4,94,1,5.82,clear sky
361,Okha,RU,53.57,142.95,52.84,95,100,14.97,light rain
