City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Sao Joao Da Barra,BR,67.44,clear sky,-21.64,-41.05,Pousada Porto De Canoas
364,Celestun,MX,81.12,clear sky,20.87,-90.4,Posada Lilia
365,Pundaguitan,PH,82.51,light rain,6.37,126.17,Leonardo Family Beach House 1
366,Lastoursville,GA,72.68,overcast clouds,-0.81,12.73,Auberge Bon Coin 02
368,Luzhou,CN,86.95,overcast clouds,28.87,105.44,Shijichun Hotel
369,Ixtapa,MX,84.2,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
370,Luganville,VU,75.2,light intensity shower rain,-15.53,167.17,The Espiritu Hotel
373,Petropavlovsk-Kamchatskiy,RU,69.8,overcast clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
374,Key Biscayne,US,79.0,heavy intensity rain,25.69,-80.16,"The Ritz-Carlton Key Biscayne, Miami"
376,Trapani,IT,80.01,clear sky,37.83,12.67,
377,Namibe,AO,65.57,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
380,Saint-Joseph,RE,68.0,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
382,Remontnoye,RU,68.0,clear sky,46.56,43.65,
385,Namatanai,PG,83.41,light rain,-3.67,152.43,Namatanai Hotel
386,Benjamin Aceval,PY,75.2,clear sky,-24.97,-57.57,Escuela Agrícola y Hotel Cerrito
387,Pringsewu,ID,88.0,overcast clouds,-5.36,104.97,Urban Style by Front One
388,Shingu,JP,82.4,broken clouds,33.73,135.98,Shingu UI Hotel
389,Champerico,GT,82.51,clear sky,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
390,San Quintin,MX,72.95,clear sky,30.48,-115.95,Old Mill Hotel
392,Palaikastron,GR,79.65,clear sky,35.2,26.25,Marina Village
393,Tigil,RU,65.97,few clouds,57.8,158.67,Tigil'
394,Berdigestyakh,RU,81.97,clear sky,62.1,126.7,
395,Nantucket,US,69.8,clear sky,41.28,-70.1,Jared Coffin House
398,Hirara,JP,82.4,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
400,Atar,MR,94.08,clear sky,20.52,-13.05,Oumou Elghoura
401,Yankton,US,66.99,clear sky,42.87,-97.4,Holiday Inn Express & Suites Yankton
402,Surt,LY,78.35,clear sky,31.21,16.59,City Hotel
403,Port Keats,AU,84.34,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
404,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
405,Port Hardy,CA,71.6,broken clouds,50.7,-127.42,Airport Inn
406,Pathein,MM,87.19,light rain,16.78,94.73,Pathein Hotel
409,Parrita,CR,73.4,broken clouds,9.52,-84.32,Beso del Viento
410,Port-Gentil,GA,73.92,overcast clouds,-0.72,8.78,Fengshui Residence
411,Kieta,PG,83.55,light rain,-6.22,155.63,
413,Karpathos,GR,77.0,clear sky,35.51,27.21,Alex
414,Banjar,ID,82.4,scattered clouds,-8.19,114.97,The Hamsa Resort
415,Siderno,IT,82.0,clear sky,38.28,16.3,Grand Hotel President
416,Dawlatabad,AF,84.56,clear sky,36.41,64.91,WASIM ASGAR KHAN
417,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
418,Smithers,CA,71.6,few clouds,54.78,-127.17,Prestige Hudson Bay Lodge
419,West Plains,US,68.0,clear sky,36.73,-91.85,West Plains Motel
422,Singkang,MY,86.0,scattered clouds,2.1,102.8,Kampung Seri Makmor Pagoh
424,Grand Gaube,MU,69.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
425,Sinnamary,GF,77.94,moderate rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
426,Manta,EC,71.6,broken clouds,-0.95,-80.73,Balandra Hotel
427,Suntar,RU,79.07,clear sky,62.14,117.63,Gostevoy Dom
428,Havelock,US,84.0,clear sky,34.88,-76.9,Sherwood Motel
430,Vao,NC,67.66,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
431,Xichang,CN,81.64,light rain,27.9,102.26,Xichang ibis Hotel
433,Byron Bay,AU,73.0,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
434,Zhezkazgan,KZ,80.6,clear sky,47.8,67.71,Kvartiry Posutochno.
435,Goderich,CA,73.0,overcast clouds,43.75,-81.72,Harmony Inn
436,Wajid,SO,72.5,broken clouds,3.81,43.25,Hotel Haji Aden Yare
437,Bowen,AU,75.99,clear sky,-20.02,148.23,Castle Motor Lodge Motel
438,Gainesville,US,78.8,clear sky,29.65,-82.32,Wyndham Garden Gainesville
439,Riyadh,SA,95.0,broken clouds,24.69,46.72,InterContinental Riyadh
440,Kulunda,RU,76.91,clear sky,52.57,78.94,Kulunda 24
441,Port Said,EG,77.0,clear sky,31.26,32.28,Aracan Hotel
442,Sur,OM,84.0,broken clouds,22.57,59.53,Sur Plaza Hotel
444,Cascais,PT,66.0,clear sky,38.7,-9.42,Hotel Vila Galé Cascais
445,Yelizovo,RU,69.8,overcast clouds,53.19,158.38,Kamchatskiy Stil' Hostel
446,Hangu,CN,86.0,broken clouds,39.25,117.79,Chongli Xuexiang Family Express Inn
447,Lorengau,PG,82.85,light rain,-2.02,147.27,Lorengau Harbourside Hotel
448,Najran,SA,80.6,scattered clouds,17.49,44.13,محمد هادي ال فطيح
449,Bentiu,SS,71.44,overcast clouds,9.23,29.83,Mandela hôtel
450,Maues,BR,76.89,scattered clouds,-3.38,-57.72,Hotel Miramar
451,Porto Murtinho,BR,74.41,clear sky,-21.7,-57.88,Hotel Pantanal
452,Waycross,US,82.4,clear sky,31.21,-82.35,Super 8 by Wyndham Waycross GA
453,Wuchi,CN,70.36,moderate rain,29.38,103.02,Mine Hotel
456,Panzhihua,CN,86.45,light rain,26.59,101.71,Electric Power Hotel
457,Kupang,ID,89.6,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
459,Pochutla,MX,80.01,clear sky,15.74,-96.47,Hotel Posada San Jose
466,Alugan,PH,84.54,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
467,Cartagena,CO,81.36,broken clouds,10.4,-75.51,Allure Chocolat
469,Pedasi,PA,80.78,overcast clouds,7.53,-80.03,Selina Pedasi
470,Laborie,LC,82.4,few clouds,13.75,-60.98,Aupic Paradise
471,Marsa Matruh,EG,75.2,clear sky,31.35,27.25,Beau Site
472,Burley,US,82.4,clear sky,42.54,-113.79,Fairfield Inn & Suites by Marriott Burley
473,Kilindoni,TZ,75.2,light rain,-7.91,39.67,Bustani B&B
475,Faya,SA,66.2,few clouds,18.39,42.45,مقبرة ال مجمل
478,Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
480,Itamaraca,BR,78.8,scattered clouds,-7.75,-34.83,Special K's Bed & Breakfast
482,Herat,AF,80.6,clear sky,34.5,62.0,
484,High Level,CA,78.8,scattered clouds,58.52,-117.14,Days Inn by Wyndham High Level
485,Hasaki,JP,90.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
486,Antalya,TR,84.02,clear sky,36.77,30.72,
488,Deulgaon Raja,IN,78.8,mist,20.02,76.03,Hotel YOGIRAJ LODGING & BOARDIING
489,Jalingo,NG,72.64,light rain,8.88,11.37,Debright Motel
491,Emba,KZ,88.14,clear sky,48.83,58.14,
493,Svetlaya,RU,76.8,scattered clouds,46.54,138.33,
494,Manokwari,ID,83.59,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
496,Kysyl-Syr,RU,78.4,clear sky,63.9,122.76,
497,Santiago Del Estero,AR,65.05,clear sky,-27.8,-64.26,Hotel Urbano
498,Goundam,ML,86.07,clear sky,16.41,-3.67,
499,Bhadrachalam,IN,87.06,broken clouds,17.67,80.88,Hotel Srinidhi Residency
501,Santa Rosa,PH,84.99,overcast clouds,14.31,121.11,Amethyst Econotel
503,Guerrero Negro,MX,74.26,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
505,Mabaruma,GY,73.87,overcast clouds,8.2,-59.78,
507,Ferrandina,IT,77.0,clear sky,40.5,16.45,Hotel degli Ulivi
509,Moerai,PF,73.56,overcast clouds,-22.43,-151.33,Le Manotel
510,Miyako,JP,76.05,light rain,39.64,141.95,Hotel Route Inn Miyako
513,Saint-Francois,FR,69.8,overcast clouds,46.42,3.91,Manoir Du Bonheur
514,Camacha,PT,69.8,light intensity drizzle,33.08,-16.33,Hotel Porto Santo & Spa
515,Tupelo,US,71.6,clear sky,34.26,-88.7,"Hilton Garden Inn Tupelo, MS"
517,Kikwit,CD,78.28,broken clouds,-5.04,18.82,Centre D'Accueil Protestant
518,Pachino,IT,75.99,clear sky,36.72,15.09,La Vignazza B&B
